Уровень образования;Кафедра;Название программы;Вид обучения;Форма обучения;Даты проведения;Количество часов;Кто может учиться;Подать заявку
Высшее медицинское;Кафедра лучевой диагностики, лучевой терапии и онкологии;Ультразвуковая диагностика;профессиональная переподготовка;Очная;18.01.2027-06.05.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/fde4e6ec-97db-1ed8-0da0-7d83046249e5
Среднее профессиональное;Кафедра лучевой диагностики, лучевой терапии и онкологии;Рентгенология;профессиональная переподготовка;Очная;13.09.2027-25.12.2027;252;В соответствии с приказом Минздрава России от 10.02.2016 № 83н.<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtySPOInfoBot" target="_blank">бот</a>;Подать заявку link=https://nmfo-spo.edu.rosminzdrav.ru/#/user-account/view-dpp/0f1ceda9-bf09-d52a-03a9-d0d100de4c5f
Высшее медицинское;Кафедра лучевой диагностики, лучевой терапии и онкологии;МРТ в диагностике злокачественных новообразований органов малого таза;повышение квалификации;Очная; (по запросу);36;Рентгенология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/d25acf38-a4be-25b9-a158-3fe07ef527a6
Высшее медицинское;Кафедра лучевой диагностики, лучевой терапии и онкологии;Онкология;повышение квалификации;Очная;18.01.2027-12.02.2027<br>06.09.2027-02.10.2027;144;Онкология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/39ee9d34-3309-2661-6d48-11296014dd17
Высшее медицинское;Кафедра лучевой диагностики, лучевой терапии и онкологии;Радиотерапия;повышение квалификации;Очная;06.09.2027-02.10.2027;144;Радиотерапия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/ac1d1104-f76d-b5eb-48eb-509f3ae93d16
Высшее медицинское;Кафедра лучевой диагностики, лучевой терапии и онкологии;Рентгенология;повышение квалификации;Очная;18.01.2027-12.02.2027<br>06.09.2027-02.10.2027;144;Рентгенология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/ea04084d-c596-649d-13ba-f2b5753b5f7e
Высшее медицинское;Кафедра лучевой диагностики, лучевой терапии и онкологии;Ультразвуковая диагностика;повышение квалификации;Очная;18.01.2027-12.02.2027<br>06.09.2027-02.10.2027;144;Ультразвуковая диагностика;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/2d6b454d-f7df-5b65-d31f-2855c694d685
Высшее медицинское;Кафедра лучевой диагностики, лучевой терапии и онкологии;Ультразвуковая диагностика сосудов. Базовый курс;повышение квалификации;Очная;20.09.2027-25.09.2027<br>11.10.2027-16.10.2027;36;Ультразвуковая диагностика, Функциональная диагностика;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/1fd13065-07c2-8be2-4e85-dacd361939c5
Среднее профессиональное;Кафедра лучевой диагностики, лучевой терапии и онкологии;Технические аспекты проведения укладки молочных желез при рентгеновской маммографии;повышение квалификации;Очная;05.10.2027-06.10.2027<br>10.11.2027-11.11.2027;16;Рентгенология;Подать заявку link=https://nmfo-spo.edu.rosminzdrav.ru/#/user-account/view-dpp/402ab853-285a-97a6-c1ca-54acdcc11e19
Высшее медицинское;Кафедра неонатологии и перинатологии;Неонатология;профессиональная переподготовка;Очная;06.09.2027-25.12.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/abde5cd6-ddd5-2cf6-bf87-b8168d5fad43
Высшее медицинское;Кафедра неонатологии и перинатологии;Грудное вскармливание;повышение квалификации;Очная;01.06.2027-06.06.2027<br>14.12.2027-19.12.2027;36;Неонатология, Общая врачебная практика (семейная медицина), Педиатрия, Педиатрия (после специалитета);Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/ea9941fc-e450-4bc7-b213-6f1d7121a2c6
Высшее медицинское;Кафедра неонатологии и перинатологии;Доношенный, недоношенный, переношенный новорожденный. Группы риска. Вскармливание. Наблюдение на участке;повышение квалификации;Очная;06.04.2027-11.04.2027;36;Неонатология, Общая врачебная практика (семейная медицина), Педиатрия, Педиатрия (после специалитета);Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/aed867d1-4934-4fda-bd54-c517a3cbfddf
Высшее медицинское;Кафедра неонатологии и перинатологии;Заболевания детей, рожденных преждевременно;повышение квалификации;Очная;09.02.2027-14.02.2027<br>23.11.2027-28.11.2027;36;Неонатология, Анестезиология-реаниматология, Неврология, Общая врачебная практика (семейная медицина), Педиатрия, Педиатрия (после специалитета);Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/8e3f8471-d107-421d-ab59-537fb8523015
Высшее медицинское;Кафедра неонатологии и перинатологии;Неврология новорожденных;повышение квалификации;Очная;09.03.2027-14.03.2027<br>14.09.2027-19.09.2027<br>23.11.2027-28.11.2027;36;Неонатология, Общая врачебная практика (семейная медицина), Педиатрия, Педиатрия (после специалитета);Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/c4ad378a-cc0f-4cad-a3d9-6c77f66d1c8a
Высшее медицинское;Кафедра неонатологии и перинатологии;Неонатология;повышение квалификации;Очная;01.02.2027-27.02.2027;144;Неонатология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/03291d67-e65b-f7a9-5c99-9c4ea1e80840
Высшее медицинское;Кафедра неонатологии и перинатологии;Патология неонатального периода;повышение квалификации;Очная;30.11.2027-05.12.2027;36;Неонатология, Общая врачебная практика (семейная медицина), Педиатрия, Педиатрия (после специалитета);Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/82934237-5c95-4100-9ae9-3643d7daf477
Высшее медицинское;Кафедра неонатологии и перинатологии;Питание недоношенных детей на амбулаторном участке. Физическое и нервно-психическое развитие недоношенных детей;повышение квалификации;Очная;08.06.2027-13.06.2027;36;Неонатология, Общая врачебная практика (семейная медицина), Педиатрия, Педиатрия (после специалитета);Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/8fa53eb3-f4dd-4863-a8c4-e11966f1fad2
Высшее медицинское;Кафедра неонатологии и перинатологии;Реанимация и стабилизация состояния новорожденных после рождения;повышение квалификации;Очная;15.03.2027-19.03.2027<br>12.04.2027-16.04.2027<br>17.05.2027-21.05.2027<br>06.09.2027-10.09.2027<br>11.10.2027-15.10.2027<br>08.11.2027-12.11.2027<br>06.12.2027-10.12.2027;36;Неонатология, Акушерство и гинекология, Анестезиология-реаниматология, Педиатрия, Педиатрия (после специалитета), Скорая медицинская помощь;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/5aedf054-c29c-4f77-fd39-ca33cf55958e
Среднее профессиональное;Кафедра неонатологии и перинатологии;Грудное вскармливание;повышение квалификации;Очная;01.06.2027-06.06.2027<br>14.12.2027-19.12.2027;36;Сестринское дело в педиатрии, Акушерское дело, Лечебное дело, Общая практика, Организация сестринского дела, Сестринское дело;Подать заявку link=https://nmfo-spo.edu.rosminzdrav.ru/#/user-account/view-dpp/cda4c2df-b4f5-b66f-d0fe-23af93f8c2aa
Среднее профессиональное;Кафедра неонатологии и перинатологии;Реанимация и стабилизация состояния новорожденных после рождения;повышение квалификации;Очная;15.03.2027-19.03.2027<br>12.04.2027-16.04.2027<br>17.05.2027-21.05.2027<br>06.09.2027-10.09.2027<br>11.10.2027-15.10.2027<br>08.11.2027-12.11.2027<br>06.12.2027-10.12.2027;36;Анестезиология и реаниматология, Акушерское дело, Лечебное дело, Сестринское дело, Сестринское дело в педиатрии, Скорая и неотложная помощь;Подать заявку link=https://nmfo-spo.edu.rosminzdrav.ru/#/user-account/view-dpp/963a6038-4243-ead3-4e4e-6e3525ffdec7
Высшее медицинское;Кафедра общественного здоровья, здравоохранения и социальной работы;Организация здравоохранения и общественное здоровье;профессиональная переподготовка;Очная;22.02.2027-23.05.2027<br>06.09.2027-27.11.2027;504;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/029a42b7-f512-8c9e-0271-fc2e8f75b48a
Высшее медицинское;Кафедра общественного здоровья, здравоохранения и социальной работы;Коммуникации в клинической практике: как завоевать доверие пациента;повышение квалификации;Очная;12.04.2027-17.04.2027<br>15.11.2027-20.11.2027;36;Лечебное дело, Авиационная и космическая медицина, Акушерство и гинекология, Аллергология и иммунология, Анестезиология-реаниматология, Бактериология, Вирусология, Водолазная медицина, Гастроэнтерология, Гематология, Генетика, Гериатрия, Гигиена детей и подростков, Гигиена питания, Гигиена труда, Гигиеническое воспитание, Дезинфектология, Дерматовенерология, Детская кардиология, Детская онкология, Детская онкология-гематология, Детская урология-андрология, Детская хирургия, Детская эндокринология, Диетология, Инфекционные болезни, Кардиология, Клиническая лабораторная диагностика, Клиническая фармакология, Колопроктология, Коммунальная гигиена, Косметология, Лабораторная генетика, Лечебная физкультура и спортивная медицина, Мануальная терапия, Медико-профилактическое дело, Медико-социальная экспертиза, Медицинская биофизика, Медицинская биохимия, Медицинская кибернетика, Медицинская микробиология, Неврология, Нейрохирургия, Неонатология, Нефрология, Общая врачебная практика (семейная медицина), Общая гигиена, Онкология, Организация здравоохранения и общественное здоровье, Ортодонтия, Остеопатия, Оториноларингология, Офтальмология, Паразитология, Патологическая анатомия, Педиатрия, Педиатрия (после специалитета), Пластическая хирургия, Профпатология, Психиатрия, Психиатрия-наркология, Психотерапия, Пульмонология, Радиационная гигиена, Радиология, Радиотерапия, Ревматология, Рентгенология, Рентгенэндоваскулярные диагностика и лечение, Рефлексотерапия, Санитарно-гигиенические лабораторные исследования, Сексология, Сердечно-сосудистая хирургия, Сестринское дело, Скорая медицинская помощь, Социальная гигиена и организация госсанэпидслужбы, Стоматология детская, Стоматология общей практики, Стоматология общей практики (после специалитета), Стоматология ортопедическая, Стоматология терапевтическая, Стоматология хирургическая, Судебно-медицинская экспертиза, Судебно-психиатрическая экспертиза, Сурдология-оториноларингология, Терапия, Токсикология, Торакальная хирургия, Травматология и ортопедия, Трансфузиология, Ультразвуковая диагностика, Управление сестринской деятельностью, Урология, Физиотерапия, Физическая и реабилитационная медицина, Фтизиатрия, Функциональная диагностика, Хирургия, Челюстно-лицевая хирургия, Эндокринология, Эндоскопия, Эпидемиология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/f911e33e-f529-76d4-acd7-797547a6945d
Высшее медицинское;Кафедра общественного здоровья, здравоохранения и социальной работы;Конфликты в медицине: диагностика, управление, профилактика;повышение квалификации;Очная;19.04.2027-24.04.2027<br>22.11.2027-27.11.2027;36;Организация здравоохранения и общественное здоровье, Общая врачебная практика (семейная медицина), Педиатрия, Педиатрия (после специалитета), Стоматология общей практики, Стоматология общей практики (после специалитета), Стоматология терапевтическая, Терапия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/a15d83a8-ba4d-4a1b-99f9-bcb8e7868cc3
Высшее медицинское;Кафедра общественного здоровья, здравоохранения и социальной работы;Основы бережливого производства;повышение квалификации;Очная;15.03.2027-20.03.2027<br>07.06.2027-12.06.2027<br>08.11.2027-13.11.2027;36;Организация здравоохранения и общественное здоровье, Акушерство и гинекология, Аллергология и иммунология, Анестезиология-реаниматология, Бактериология, Вирусология, Водолазная медицина, Гастроэнтерология, Гематология, Генетика, Гериатрия, Гигиена детей и подростков, Дерматовенерология, Детская кардиология, Детская онкология, Детская онкология-гематология, Детская урология-андрология, Детская хирургия, Детская эндокринология, Диетология, Инфекционные болезни, Кардиология, Клиническая лабораторная диагностика, Клиническая фармакология, Колопроктология, Косметология, Лечебная физкультура и спортивная медицина, Мануальная терапия, Медико-социальная экспертиза, Неврология, Нейрохирургия, Неонатология, Нефрология, Общая врачебная практика (семейная медицина), Общая гигиена, Онкология, Ортодонтия, Оториноларингология, Офтальмология, Патологическая анатомия, Педиатрия, Педиатрия (после специалитета), Пластическая хирургия, Профпатология, Психиатрия, Психиатрия-наркология, Психотерапия, Пульмонология, Радиология, Радиотерапия, Ревматология, Рентгенология, Рентгенэндоваскулярные диагностика и лечение, Рефлексотерапия, Сердечно-сосудистая хирургия, Скорая медицинская помощь, Социальная гигиена и организация госсанэпидслужбы, Стоматология детская, Стоматология общей практики, Стоматология общей практики (после специалитета), Стоматология ортопедическая, Стоматология терапевтическая, Стоматология хирургическая, Судебно-медицинская экспертиза, Судебно-психиатрическая экспертиза, Сурдология-оториноларингология, Терапия, Торакальная хирургия, Травматология и ортопедия, Трансфузиология, Ультразвуковая диагностика, Управление сестринской деятельностью, Урология, Физиотерапия, Физическая и реабилитационная медицина, Фтизиатрия, Функциональная диагностика, Хирургия, Челюстно-лицевая хирургия, Эндокринология, Эндоскопия, Эпидемиология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/11e94f01-f93e-f328-b142-37568da9dd2a
Высшее медицинское;Кафедра общественного здоровья, здравоохранения и социальной работы;Правовые риски медицинской деятельности;повышение квалификации;Очная;01.02.2027-06.02.2027;36;Организация здравоохранения и общественное здоровье, Акушерство и гинекология, Аллергология и иммунология, Анестезиология-реаниматология, Гастроэнтерология, Гематология, Гериатрия, Дерматовенерология, Детская кардиология, Детская урология-андрология, Детская хирургия, Детская эндокринология, Диетология, Инфекционные болезни, Кардиология, Клиническая фармакология, Колопроктология, Косметология, Лечебная физкультура и спортивная медицина, Лечебное дело, Неврология, Нейрохирургия, Неонатология, Нефрология, Общая врачебная практика (семейная медицина), Онкология, Ортодонтия, Остеопатия, Оториноларингология, Офтальмология, Патологическая анатомия, Педиатрия, Педиатрия (после специалитета), Пластическая хирургия, Профпатология, Психиатрия, Психотерапия, Пульмонология, Радиология, Радиотерапия, Ревматология, Рентгенология, Рентгенэндоваскулярные диагностика и лечение, Рефлексотерапия, Сердечно-сосудистая хирургия, Скорая медицинская помощь, Стоматология детская, Стоматология общей практики, Стоматология общей практики (после специалитета), Стоматология ортопедическая, Стоматология терапевтическая, Стоматология хирургическая, Терапия, Токсикология, Торакальная хирургия, Травматология и ортопедия, Трансфузиология, Ультразвуковая диагностика, Управление сестринской деятельностью, Урология, Физиотерапия, Физическая и реабилитационная медицина, Фтизиатрия, Функциональная диагностика, Хирургия, Челюстно-лицевая хирургия, Эндокринология, Эндоскопия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/77c65e90-1ea1-eef0-cbec-79bb6ca6113d
Высшее медицинское;Кафедра общественного здоровья, здравоохранения и социальной работы;Современные подходы к профилактике неинфекционных заболеваний и формированию здорового образа жизни;повышение квалификации;Очная;08.02.2027-13.02.2027<br>06.12.2027-11.12.2027;36;Лечебное дело, Акушерство и гинекология, Гастроэнтерология, Гематология, Гериатрия, Детская кардиология, Детская урология-андрология, Детская хирургия, Детская эндокринология, Диетология, Кардиология, Клиническая фармакология, Колопроктология, Лечебная физкультура и спортивная медицина, Неврология, Нейрохирургия, Нефрология, Общая врачебная практика (семейная медицина), Онкология, Оториноларингология, Офтальмология, Педиатрия, Педиатрия (после специалитета), Пластическая хирургия, Профпатология, Пульмонология, Ревматология, Рефлексотерапия, Сердечно-сосудистая хирургия, Терапия, Токсикология, Торакальная хирургия, Травматология и ортопедия, Урология, Физиотерапия, Физическая и реабилитационная медицина, Функциональная диагностика, Хирургия, Челюстно-лицевая хирургия, Эндокринология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/83128e72-5615-d8fb-5bab-05e646317b53
Высшее медицинское;Кафедра общественного здоровья, здравоохранения и социальной работы;Управление процессами медицинской организации;повышение квалификации;Очная;29.03.2027-24.04.2027<br>04.10.2027-30.10.2027;144;Организация здравоохранения и общественное здоровье, Управление сестринской деятельностью;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/fb3c05f9-2a32-14de-0ad5-13359c89dac8
Высшее медицинское;Кафедра общественного здоровья, здравоохранения и социальной работы;Управление структурным подразделением медицинской организации;повышение квалификации;Очная;15.03.2027-27.03.2027<br>04.10.2027-16.10.2027;72;Терапия, Авиационная и космическая медицина, Акушерство и гинекология, Аллергология и иммунология, Анестезиология-реаниматология, Бактериология, Вирусология, Водолазная медицина, Гастроэнтерология, Гематология, Генетика, Гериатрия, Гигиена детей и подростков, Гигиена питания, Гигиена труда, Гигиеническое воспитание, Дезинфектология, Дерматовенерология, Детская кардиология, Детская онкология, Детская онкология-гематология, Детская урология-андрология, Детская хирургия, Детская эндокринология, Диетология, Инфекционные болезни, Кардиология, Клиническая лабораторная диагностика, Клиническая фармакология, Колопроктология, Коммунальная гигиена, Косметология, Лабораторная генетика, Лечебная физкультура и спортивная медицина, Мануальная терапия, Медико-социальная экспертиза, Медицинская микробиология, Неврология, Нейрохирургия, Неонатология, Нефрология, Общая врачебная практика (семейная медицина), Общая гигиена, Онкология, Ортодонтия, Остеопатия, Оториноларингология, Офтальмология, Паразитология, Патологическая анатомия, Педиатрия, Пластическая хирургия, Профпатология, Психиатрия, Психиатрия-наркология, Психотерапия, Пульмонология, Радиационная гигиена, Радиология, Радиотерапия, Ревматология, Рентгенология, Рентгенэндоваскулярные диагностика и лечение, Рефлексотерапия, Санитарно-гигиенические лабораторные исследования, Сексология, Сердечно-сосудистая хирургия, Скорая медицинская помощь, Стоматология детская, Стоматология общей практики, Стоматология ортопедическая, Стоматология терапевтическая, Стоматология хирургическая, Судебно-медицинская экспертиза, Судебно-психиатрическая экспертиза, Сурдология-оториноларингология, Токсикология, Торакальная хирургия, Травматология и ортопедия, Трансфузиология, Ультразвуковая диагностика, Урология, Физиотерапия, Физическая и реабилитационная медицина, Фтизиатрия, Функциональная диагностика, Хирургия, Челюстно-лицевая хирургия, Эндокринология, Эндоскопия, Эпидемиология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/37e05da9-1df8-7262-c14a-3db8289463c5
Высшее немедицинское;Кафедра общественного здоровья, здравоохранения и социальной работы;Коммуникации в клинической практике: как завоевать доверие пациента;повышение квалификации;Очная;12.04.2027-17.04.2027<br>15.11.2027-20.11.2027;36;Должность "Медицинский психолог", Должность "Биолог", Должность "Врач-лаборант", Должность "Инструктор-методист по лечебной физкультуре", Должность "Медицинский логопед", Должность "Медицинский физик", Должность "Специалист по физической реабилитации (кинезиоспециалист)", Должность "Специалист по эргореабилитации (эргоспециалист)", Должность "Судебный эксперт (эксперт-биохимик, эксперт-генетик, эксперт-химик)", Должность "Химик-эксперт медицинской организации", Должность "Эксперт-физик по контролю за источниками ионизирующих и неионизирующих излучений", Должность "Эмбриолог", Должность "Энтомолог";Подать заявку link=https://nmfo-nmd.edu.rosminzdrav.ru/#/user-account/view-dpp/75f785b7-f429-492a-f1a4-a1ebf37ee3ce
Среднее профессиональное;Кафедра общественного здоровья, здравоохранения и социальной работы;Основы бережливого производства;повышение квалификации;Очная;15.03.2027-20.03.2027<br>07.06.2027-12.06.2027<br>08.11.2027-13.11.2027;36;Организация сестринского дела, Акушерское дело, Анестезиология и реаниматология, Бактериология, Гигиена и санитария, Гигиеническое воспитание, Гистология, Дезинфекционное дело, Диетология, Лабораторная диагностика, Лабораторное дело, Лечебная физкультура, Лечебное дело, Медико-профилактическое дело, Медико-социальная помощь, Медицинская оптика, Медицинская статистика, Медицинский массаж, Наркология, Общая практика, Операционное дело, Реабилитационное сестринское дело, Рентгенология, Сестринское дело, Сестринское дело в косметологии, Сестринское дело в педиатрии, Скорая и неотложная помощь, Стоматология, Стоматология ортопедическая, Стоматология профилактическая, Судебно-медицинская экспертиза, Фармация, Физиотерапия, Функциональная диагностика, Энтомология, Эпидемиология (паразитология);Подать заявку link=https://nmfo-spo.edu.rosminzdrav.ru/#/user-account/view-dpp/f7b8e3de-fb08-08d8-9082-e01615347c3d
Высшее медицинское;Кафедра педиатрии;Аллергология и иммунология;профессиональная переподготовка;Очная;01.02.2027-15.05.2027<br>04.10.2027-16.12.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/dfdab952-0c4a-632d-716a-7e2e9156b149
Высшее медицинское;Кафедра педиатрии;Детская эндокринология;профессиональная переподготовка;Очная;01.02.2027-15.05.2027<br>04.10.2027-16.12.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/f40dfaeb-66a6-87f6-e664-2afdd2cb158
Высшее медицинское;Кафедра педиатрии;Педиатрия;профессиональная переподготовка;Очная;01.02.2027-15.05.2027<br>04.10.2027-16.12.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/bb4534f3-05fc-6c66-394b-73db688a8740
Высшее медицинское;Кафедра педиатрии;Актуальные вопросы диагностики и лечения бронхолегочных заболеваний у детей и подростков;повышение квалификации;Очная;05.04.2027-08.04.2027;36;Педиатрия, Педиатрия (после специалитета), Общая врачебная практика (семейная медицина), Пульмонология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/936bb68d-c112-3e96-1d2d-62820a3953a0
Высшее медицинское;Кафедра педиатрии;Аллергология и иммунология;повышение квалификации;Очная;01.02.2027-18.02.2027<br>04.10.2027-21.10.2027;144;Аллергология и иммунология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/8387d675-f410-7540-2f95-b8040980587e
Высшее медицинское;Кафедра педиатрии;Детская эндокринология;повышение квалификации;Очная;01.02.2027-18.02.2027<br>04.10.2027-21.10.2027;144;Детская эндокринология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/fc7fe89b-6666-f7b8-4358-fd17759b4962
Высшее медицинское;Кафедра педиатрии;Заболевания суставов у детей и подростков;повышение квалификации;Очная;06.12.2027-09.12.2027;36;Педиатрия, Общая врачебная практика (семейная медицина), Ревматология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/97542559-a98b-1009-2e0c-368d44860882
Высшее медицинское;Кафедра педиатрии;Йоддефицитные заболевания у детей и подростков;повышение квалификации;Очная;08.11.2027-11.11.2027;36;Детская эндокринология, Общая врачебная практика (семейная медицина), Педиатрия, Педиатрия (после специалитета);Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/5da65f6c-fe68-48a9-8e5a-c38cf54c65de
Высшее медицинское;Кафедра педиатрии;Нарушение фосфорно-кальциевого обмена и дефицит витамина Д у детей и подростков;повышение квалификации;Очная;22.03.2027-25.03.2027;36;Педиатрия, Педиатрия (после специалитета), Детская эндокринология, Общая врачебная практика (семейная медицина), Ревматология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/161f2ad2-acb3-4ab4-a5ee-ad38f40b945c
Высшее медицинское;Кафедра педиатрии;Острые аллергические реакции у детей. Диагностика, неотложная помощь;повышение квалификации;Очная;25.01.2027-28.01.2027;36;Педиатрия, Педиатрия (после специалитета), Общая врачебная практика (семейная медицина), Скорая медицинская помощь;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/32dba56b-c470-a323-ebeb-b850774e0bd2
Высшее медицинское;Кафедра педиатрии;Педиатрия;повышение квалификации;Очная;01.02.2027-27.02.2027<br>22.03.2027-17.04.2027<br>20.09.2027-16.10.2027<br>08.11.2027-27.11.2027;144;Педиатрия, Педиатрия (после специалитета);Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/19749f66-bdf3-8f57-9113-e8d0b0196f24
Высшее медицинское;Кафедра педиатрии;Пищевая аллергия у детей;повышение квалификации;Очная;20.09.2027-23.09.2027;36;Педиатрия, Педиатрия (после специалитета), Общая врачебная практика (семейная медицина);Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/34dffa62-2fca-407b-a0fe-97c011022b6d
Высшее медицинское;Кафедра педиатрии;Сахарный диабет у детей;повышение квалификации;Очная;01.02.2027-09.02.2027;72;Педиатрия, Детская эндокринология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/e2e214e9-6a97-a5a6-5bc8-3e7f80c49738
Высшее медицинское;Кафедра педиатрии;Современные аспекты рационального питания детей и подростков;повышение квалификации;Очная;26.04.2027-29.04.2027<br>01.12.2027-04.12.2027;36;Педиатрия, Педиатрия (после специалитета), Аллергология и иммунология, Гастроэнтерология, Детская кардиология, Детская эндокринология, Общая врачебная практика (семейная медицина), Ревматология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/7b6512ea-1de6-83d2-d9ee-184fbbd6f5f4
Высшее медицинское;Кафедра педиатрии;Функциональные заболевания пищеварительного тракта у детей и подростков;повышение квалификации;Очная;01.03.2027-04.03.2027;36;Педиатрия, Педиатрия (после специалитета), Гастроэнтерология, Общая врачебная практика (семейная медицина);Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/b14a8cea-6ed1-5c21-cc98-c9c0ffa65c7b
Среднее профессиональное;Кафедра педиатрии;Острые аллергические реакции у детей. Диагностика, неотложная помощь;повышение квалификации;Очная;25.01.2027-28.01.2027;36;Фельдшеры (Лечебное дело (СПО)), Медицинские сестры;Подать заявку link=https://nmfo-spo.edu.rosminzdrav.ru/#/user-account/view-dpp/57662639-8115-1f43-7919-dcc07036b21e
